,Medián_As,Medián_As,Medián_As,Medián_As,Medián_Ca,Medián_Ca,Medián_Ca,Medián_Ca,Medián_Cd,Medián_Cd,Medián_Cd,Medián_Cd,Medián_Co,Medián_Co,Medián_Co,Medián_Co,Medián_Cr,Medián_Cr,Medián_Cr,Medián_Cr,Medián_Cu,Medián_Cu,Medián_Cu,Medián_Cu,Medián_Fe,Medián_Fe,Medián_Fe,Medián_Fe,Medián_K,Medián_K,Medián_K,Medián_K,Medián_Mn,Medián_Mn,Medián_Mn,Medián_Mn,Medián_Mo,Medián_Mo,Medián_Mo,Medián_Mo,Medián_Ni,Medián_Ni,Medián_Ni,Medián_Ni,Medián_Pb,Medián_Pb,Medián_Pb,Medián_Pb,Medián_Ti,Medián_Ti,Medián_Ti,Medián_Ti,Medián_V,Medián_V,Medián_V,Medián_V,Medián_Zn,Medián_Zn,Medián_Zn,Medián_Zn
,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count,mean,median,std,count
class_name,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arable land (annual crops),11.530235289375,10.022752285,4.540034264515382,8,26568.9348125,25340.836909999998,3203.9805195455933,8,1.80828659225,1.3831256029999999,0.9169040037160987,8,10.241503476875,10.003612043499999,1.5068945691624211,8,89.1995162875,94.01604843,26.76731945276692,8,253.784161815,221.55349923,234.41710857994894,8,12046.05212625,12106.104495,1492.1570745383053,8,12747.5639665,13147.472170000001,3283.097199902906,8,588.8879509125,544.20507815,154.0104551690316,8,1.274012342125,1.07537061,0.5277778115173767,8,22.7257711315,21.287471775,14.456631549945437,8,22.478444873875,8.0551316735,43.785492587455565,8,2697.29067975,2659.752197,512.1179490026165,8,92.78416824125,91.57691574500001,28.26484456072409,8,112.6623053475,80.255916595,98.6306420991631,8
Construction sites,9.753623962,9.753623962,,1,24247.39063,24247.39063,,1,2.038979769,2.038979769,,1,12.18523407,12.18523407,,1,99.45407104,99.45407104,,1,24.10173607,24.10173607,,1,14752.95801,14752.95801,,1,13437.4248,13437.4248,,1,606.6638184,606.6638184,,1,1.111800432,1.111800432,,1,20.11732674,20.11732674,,1,27.02995682,27.02995682,,1,3377.915771,3377.915771,,1,119.5162354,119.5162354,,1,69.83319092,69.83319092,,1
Continuous urban fabric (S.L. : > 80%),14.239200562170213,12.61220455,4.246349163415918,47,28430.55612106383,28895.45117,2461.273267328051,47,1.887915693,1.840697885,0.7132448211648278,47,9.356469854340425,9.046996117,2.622919040496262,47,78.46562600808511,81.74166107,25.831183003210374,47,98.24363533957447,46.79245758,126.38369371995114,47,11387.926633021276,10909.61133,2906.5079229904973,47,10871.721939553192,11209.01758,1820.3806951631254,47,502.6248594276596,495.3618011,105.09692792440349,47,1.3421129533617022,1.296704292,0.38338818909550565,47,15.676399522617022,16.70442581,9.62179126527843,47,48.337137476574476,32.69095612,40.856653913940974,47,2537.9654229574467,2531.738525,424.7936125487499,47,84.3730173306383,81.29800415,20.236684876381883,47,163.92270035085107,131.9932556,78.3571477373254,47
Discontinuous dense urban fabric (S.L. : 50% -  80%),12.124708184666666,10.87378025,3.42134803394068,24,27307.62583,26080.44336,4370.713733796003,24,1.5740228429999998,1.5534445044999998,0.514266869932997,24,9.49865278025,8.7550824545,2.094615834159871,24,90.52001123916666,89.51026916500001,19.97652428755515,24,34.284974464166666,28.53674507,19.29709052159677,24,11321.802858625,10653.743925,2081.778168029704,24,11352.3667585,11267.66016,2214.430912599197,24,498.11709014166667,481.5311499,131.40687702038906,24,1.1967158737083332,1.205017507,0.3191240049161846,24,20.727172058375,18.84968376,9.354571020856161,24,28.40535197475,15.88268471,33.17093204038277,24,2682.4964233333335,2790.1810305,353.9783370707963,24,90.01277271458333,87.16181946,15.234859591119605,24,127.50965252125,97.41508758500001,92.35642941997345,24
Forests,13.670928636666668,11.83,4.612873576632919,3,26476.854453333333,24758.26,3570.7616556175108,3,1.3600204246666667,1.500061274,0.35158011833933533,3,10.543216856666668,10.89965057,0.8528239818394188,3,91.47869273333333,92.31,21.764949205427488,3,37.752712706666664,29.88,13.906892926658076,3,12589.970000000001,12803.0,967.8216991264462,3,12251.54595,12368.83,3461.384496634289,3,674.2388794,697.8666382,51.3665889896656,3,1.309268908,1.4,0.26787979820534696,3,22.450283049999996,23.435,6.69743962368097,3,42.790542996666666,25.455,43.85167815141042,3,2523.5537986666664,2510.81,437.5199175881136,3,89.9919167,96.34,25.839481723289587,3,97.90245605333332,90.30236816,32.76538582467471,3
Green urban areas,11.260297470166668,11.39749002,1.2812151517277937,6,26725.308998333334,26523.789065,2457.979353968722,6,1.4382810336666667,1.3731883145000001,0.8734698439870611,6,9.535112139333334,9.148799419500001,1.5686234930216225,6,84.43484341666667,75.992889405,37.670366629768964,6,71.27054980333334,37.974020005,89.85444477723573,6,11586.030658333335,11235.501465000001,1702.94445095952,6,11644.491725,12049.55713,2649.2156359424594,6,561.9267435666667,514.3804016,182.46050429985024,6,1.032079931,0.9720508155,0.479315529515668,6,22.400928740666668,24.335305939999998,10.888973168602885,6,19.7034095555,21.08981205,12.320017760071368,6,2470.5496516666667,2337.3031005,423.07502161245066,6,83.22930231666668,73.15672943,22.25912670846976,6,160.23890054333333,137.2992746,104.66606681313063,6
"Herbaceous vegetation associations (natural grassland, moors...)",24.63569641,24.63569641,,1,28337.47461,28337.47461,,1,1.769519925,1.769519925,,1,14.08332157,14.08332157,,1,129.5962524,129.5962524,,1,685.7639771,685.7639771,,1,15862.38965,15862.38965,,1,13098.60254,13098.60254,,1,685.7639771,685.7639771,,1,1.121596575,1.121596575,,1,20.60488892,20.60488892,,1,146.0506897,146.0506897,,1,2885.989746,2885.989746,,1,102.9596024,102.9596024,,1,42.81689453,42.81689453,,1
"Industrial, commercial, public, military and private units",14.294802308799998,12.590383055,5.917501024041837,20,27831.8673825,26374.612305000002,3300.8523168652155,20,1.8916666135,1.8584926725,1.0178710551059356,20,10.175163173449999,10.18786764,1.6213747788128505,20,90.55125789249999,84.849105835,31.881081673300383,20,143.73307027799999,53.238691325000005,205.17022983820124,20,12309.7165523,12182.678715,1925.0847152174347,20,11280.8557619,11090.104495,1765.672414306017,20,587.74251709,559.0093231000001,175.02942922291987,20,1.24079692065,1.277877212,0.3207916522660209,20,20.0636985842,20.068572045,10.48713867754077,20,34.4975817602,28.253011700000002,31.65361090116401,20,2712.3262268,2694.774536,394.5455852068205,20,92.142599871,90.40415573,16.421095446562468,20,162.3019267995,127.81663895,74.93248889512626,20
Other roads and associated land,13.375946930857143,13.01953316,3.643142088020535,7,31722.198104285715,27088.04688,8794.670472023165,7,1.4267042068571427,1.398377776,0.5736097062356305,7,9.204448631142856,8.905649185,2.649699114174014,7,80.14355251142857,79.25570679,19.057365654295406,7,40.57460852999999,36.89104843,15.747717531445293,7,11293.193428857145,10915.95898,2900.473032475511,7,11498.506626571429,10277.25781,2234.6385183023785,7,571.9919651714287,656.803772,210.8210881006223,7,1.0576366098571428,1.09634006,0.27482853731314444,7,19.21882963,16.60690498,9.022946259119395,7,39.979366031285714,36.18540192,35.00075693621696,7,2600.173488,2601.783691,367.2930437908573,7,88.89631599428571,85.71310425,19.94034246212661,7,149.54900742714287,137.261055,81.7413279248631,7
Pastures,10.8277393494,11.07017136,1.063618084067042,5,28857.763468,28039.11914,3690.533440801749,5,1.5697687112,1.553444505,0.07776738706652107,5,8.0072175446,7.72,1.0844942542876832,5,73.35243609599999,76.14826202,20.999476212552064,5,35.549869064,26.16,22.138887098745332,5,9840.9908896,9680.14,1234.4181984519635,5,10708.6048218,10251.195,1332.942858641842,5,446.1301460000001,492.9845276,85.31116880804456,5,1.3413834346,1.391605735,0.25296877462832246,5,14.558897876,12.70644093,3.923794934718335,5,12.53417174,8.92874527,11.608479755538191,5,2432.5487052,2476.990723,429.5503018267284,5,82.814240724,85.02325439,18.697677879605365,5,158.361794882,90.45,140.73966701496553,5
Railways and associated land,17.42741966,17.42741966,,1,27058.21094,27058.21094,,1,2.364364147,2.364364147,,1,9.1731987,9.1731987,,1,53.15320969,53.15320969,,1,44.31710815,44.31710815,,1,11170.37793,11170.37793,,1,6999.808594,6999.808594,,1,406.5363464,406.5363464,,1,1.806721091,1.806721091,,1,0.127435654,0.127435654,,1,78.46816254,78.46816254,,1,1973.793213,1973.793213,,1,53.01376343,53.01376343,,1,170.4482117,170.4482117,,1
Sports and leisure facilities,14.98,14.98,,1,24919.47,24919.47,,1,1.65,1.65,,1,9.33,9.33,,1,71.18,71.18,,1,42.87,42.87,,1,11527.73,11527.73,,1,11176.44,11176.44,,1,559.55,559.55,,1,1.14,1.14,,1,20.12,20.12,,1,55.61,55.61,,1,2683.1,2683.1,,1,81.85,81.85,,1,149.38,149.38,,1
